,,,,,,,,,,Derivative Y1,Derivative Y2,Derivative Y3,Derivative Y4,Derivative Y5,Derivative Y6,Derivative Y7,Derivative Y8,Derivative Y9
,A,D,Keggin C,B,Cc,,,,,,,,,,,,,
,0 mL,0.1 mL,0.25 mL,0.5 mL,0.75 mL,BB (1mL),F(1.5 mL),G(1.75 mL),E(2 mL),1st derivative of I1,1st derivative of I2,1st derivative of I3,1st derivative of E1,1st derivative of I4,1st derivative of I5,1st derivative of I6,1st derivative of I7,1st derivative of J1
0.0024,0.147,0.1495,0.159,0.16335,0.1677,0.13275,0.0998,0.08858,0.07339,0.950000000000002,1,1.21666666666667,1.875,2.53333333333333,1.59166666666667,0.483333333333333,0.523333333333333,0.456666666666667
0.0144,0.1584,0.1615,0.1736,0.18585,0.1981,0.15185,0.1056,0.09486,0.07887,1.04166666666667,1.02083333333333,1.23333333333333,1.97916666666667,2.725,1.65416666666667,0.5,0.5425,0.48375
0.0264,0.172,0.174,0.1886,0.21085,0.2331,0.17245,0.1118,0.1016,0.085,1.88333333333333,1.95,2.3875,3.26041666666667,4.13333333333333,3.01666666666667,1.9,1.6975,1.17208333333333
0.0384,0.2036,0.2083,0.2309,0.2641,0.2973,0.22425,0.1512,0.1356,0.107,3.125,3.88333333333333,4.90833333333333,5.48125,6.05416666666667,5.25208333333333,4.45,3.47916666666667,2.525
0.0504,0.247,0.2672,0.3064,0.3424,0.3784,0.2985,0.2186,0.1851,0.1456,3.3625,4.49583333333333,5.725,6.11041666666667,6.49583333333333,5.45208333333333,4.40833333333333,3.55416666666667,2.98333333333333
0.0624,0.2843,0.3162,0.3683,0.41075,0.4532,0.3551,0.257,0.2209,0.1786,2.49583333333333,2.76666666666667,4.0625,4.3625,4.6625,3.4375,2.2125,1.8625,1.72916666666667
0.0744,0.3069,0.3336,0.4039,0.4471,0.4903,0.381,0.2717,0.2298,0.1871,1.67916666666667,1.48333333333333,2.40833333333333,2.85833333333333,3.30833333333333,2.20416666666666,1.1,0.733333333333332,0.666666666666666
0.0864,0.3246,0.3518,0.4261,0.47935,0.5326,0.408,0.2834,0.2385,0.1946,1.30833333333333,1.44583333333333,1.5875,2.56875,3.55,2.23333333333333,0.916666666666667,0.654166666666666,0.608333333333333
0.0984,0.3383,0.3683,0.442,0.50875,0.5755,0.4346,0.2937,0.2455,0.2017,1.15833333333333,1.24166666666667,1.5125,2.50416666666667,3.49583333333334,2.1625,0.829166666666668,0.608333333333334,0.637500000000001
0.1104,0.3524,0.3816,0.4624,0.53945,0.6165,0.4599,0.3033,0.2531,0.2099,1.14583333333333,1.20416666666667,1.5375,2.53958333333333,3.54166666666667,2.18541666666667,0.829166666666666,0.7,0.670833333333334
0.1224,0.3658,0.3972,0.4789,0.5697,0.6605,0.48705,0.3136,0.2623,0.2178,1.1625,1.27083333333333,1.2625,2.31458333333333,3.36666666666667,2.10833333333333,0.849999999999999,0.691666666666667,0.641666666666667
0.1344,0.3803,0.4121,0.4927,0.595,0.6973,0.5105,0.3237,0.2697,0.2253,1.17083333333333,1.175,1.175,2.225,3.275,2.04791666666667,0.820833333333333,0.6875,0.558333333333333
0.1464,0.3939,0.4254,0.5071,0.6231,0.7391,0.5362,0.3333,0.2788,0.2312,1.125,1.24583333333333,1.25,2.22291666666667,3.19583333333333,2.02916666666667,0.862499999999999,0.741666666666665,0.570833333333332
0.1584,0.4073,0.442,0.5227,0.64835,0.774,0.5592,0.3444,0.2875,0.239,1.075,1.25416666666667,1.21666666666667,2.2,3.18333333333334,2.04791666666667,0.912500000000001,0.733333333333334,0.616666666666667
0.1704,0.4197,0.4555,0.5363,0.6759,0.8155,0.58535,0.3552,0.2964,0.246,1.1125,1.17083333333333,1.1875,2.175,3.1625,2.03541666666667,0.908333333333335,0.725000000000001,0.570833333333333
0.1824,0.434,0.4701,0.5512,0.70055,0.8499,0.60805,0.3662,0.3049,0.2527,1.14583333333333,1.27916666666667,1.17916666666667,2.17083333333334,3.1625,2.00625,0.849999999999999,0.695833333333333,0.537500000000001
0.1944,0.4472,0.4862,0.5646,0.728,0.8914,0.6335,0.3756,0.3131,0.2589,1.2125,1.22083333333333,1.09583333333333,2.08541666666667,3.075,1.94791666666667,0.820833333333333,0.733333333333334,0.604166666666667
0.2064,0.4631,0.4994,0.5775,0.7506,0.9237,0.6548,0.3859,0.3225,0.2672,1.25416666666667,1.26666666666666,1.13333333333333,2.11875,3.10416666666666,2,0.895833333333333,0.745833333333334,0.595833333333332
0.2184,0.4773,0.5166,0.5918,0.77885,0.9659,0.6815,0.3971,0.331,0.2732,1.13333333333333,1.34583333333333,1.21666666666667,2.17916666666666,3.14166666666667,2.04375,0.945833333333334,0.766666666666666,0.525
0.2304,0.4903,0.5317,0.6067,0.8029,0.9991,0.70385,0.4086,0.3409,0.2798,1.13333333333333,1.16666666666667,1.2125,2.10833333333333,3.00416666666667,2.00208333333334,1,0.808333333333332,0.595833333333333
0.2424,0.5045,0.5446,0.6209,0.82945,1.038,0.72955,0.4211,0.3504,0.2875,1.16666666666666,1.25,1.15416666666666,1.95,2.74583333333333,1.85625,0.966666666666666,0.770833333333333,0.625
0.2544,0.5183,0.5617,0.6344,0.8497,1.065,0.7484,0.4318,0.3594,0.2948,1.24583333333333,1.37083333333333,1.29583333333333,2.16875,3.04166666666666,1.9875,0.933333333333334,0.762500000000001,0.570833333333335
0.2664,0.5344,0.5775,0.652,0.8815,1.111,0.77725,0.4435,0.3687,0.3012,1.29166666666667,1.2125,1.34166666666667,2.2125,3.08333333333334,2.02083333333334,0.958333333333333,0.808333333333336,0.579166666666666
0.2784,0.5493,0.5908,0.6666,0.9028,1.139,0.7969,0.4548,0.3788,0.3087,1.25833333333334,1.25833333333334,1.2375,1.91041666666667,2.58333333333334,1.73541666666667,0.887500000000001,0.825000000000001,0.633333333333334
0.2904,0.5646,0.6077,0.6817,0.92735,1.173,0.8189,0.4648,0.3885,0.3164,1.09166666666667,1.39166666666666,1.27916666666667,2.22291666666666,3.16666666666667,2.0375,0.908333333333334,0.845833333333332,0.600000000000001
0.3024,0.5755,0.6242,0.6973,0.95615,1.215,0.8458,0.4766,0.3991,0.3231,1.09166666666667,1.2125,1.04166666666667,1.85416666666666,2.66666666666667,1.81666666666667,0.966666666666666,0.808333333333331,0.587499999999999
0.3144,0.5908,0.6368,0.7067,0.97185,1.237,0.8625,0.488,0.4079,0.3305,1.34166666666667,1.25833333333333,1.08333333333333,1.91666666666667,2.74999999999999,1.85416666666666,0.958333333333331,0.799999999999999,0.666666666666667
0.3264,0.6077,0.6544,0.7233,1.00215,1.281,0.8903,0.4996,0.4183,0.3391,1.25416666666667,1.34583333333333,1.35,2.13333333333334,2.91666666666666,1.9875,1.05833333333333,0.845833333333336,0.579166666666666
0.3384,0.6209,0.6691,0.7391,1.02305,1.307,0.9102,0.5134,0.4282,0.3444,1.25833333333334,1.19166666666667,1.2125,1.98125,2.75000000000001,1.9,1.05,0.833333333333335,0.570833333333333
0.3504,0.6379,0.683,0.7524,1.0497,1.347,0.9359,0.5248,0.4383,0.3528,1.19583333333333,1.34166666666667,1.25833333333333,1.9625,2.66666666666667,1.81666666666666,0.966666666666666,0.824999999999999,0.704166666666667
0.3624,0.6496,0.7013,0.7693,1.07015,1.371,0.9538,0.5366,0.448,0.3613,1.09166666666667,1.32916666666666,1.36666666666667,1.99583333333332,2.625,1.79166666666667,0.958333333333329,0.812499999999998,0.612499999999999
0.3744,0.6641,0.7149,0.7852,1.0976,1.41,0.9789,0.5478,0.4578,0.3675,1.22916666666667,1.2125,1.2125,1.85625,2.5,1.72291666666667,0.945833333333335,0.795833333333333,0.570833333333332
0.3864,0.6791,0.7304,0.7984,1.1147,1.431,0.99515,0.5593,0.4671,0.375,1.38333333333334,1.3125,1.19166666666667,1.99166666666667,2.79166666666668,1.87916666666667,0.966666666666668,0.783333333333336,0.687500000000002
0.3984,0.6973,0.7464,0.8138,1.1454,1.477,1.024,0.571,0.4766,0.384,1.37916666666667,1.23333333333333,1.30416666666667,1.77708333333334,2.25000000000001,1.62291666666667,0.995833333333336,0.766666666666667,0.645833333333335
0.4104,0.7122,0.76,0.8297,1.15735,1.485,1.0341,0.5832,0.4855,0.3905,1.2,1.15,1.11666666666667,1.62083333333333,2.125,1.55416666666666,0.983333333333335,0.783333333333332,0.599999999999998
0.4224,0.7261,0.774,0.8406,1.1843,1.528,1.0613,0.5946,0.4954,0.3984,1.12083333333333,1.4625,1,1.77083333333333,2.54166666666666,1.79583333333333,1.05,0.870833333333332,0.695833333333332
0.4344,0.7391,0.7951,0.8537,1.19985,1.546,1.0772,0.6084,0.5064,0.4072,1.09583333333333,1.37083333333333,1.19166666666666,1.99166666666667,2.79166666666666,1.9125,1.03333333333333,0.858333333333333,0.625
0.4464,0.7524,0.8069,0.8692,1.2321,1.595,1.1072,0.6194,0.516,0.4134,1.12916666666667,1.21666666666667,1.3125,1.67708333333333,2.04166666666666,1.50833333333333,0.975000000000001,0.804166666666667,0.579166666666666
0.4584,0.7662,0.8243,0.8852,1.2401,1.595,1.1134,0.6318,0.5257,0.4211,1.36666666666667,1.47916666666667,1.275,1.80416666666667,2.33333333333333,1.61875,0.90416666666667,0.820833333333332,0.704166666666669
0.4704,0.7852,0.8424,0.8998,1.2754,1.651,1.14605,0.6411,0.5357,0.4303,1.4125,1.14583333333333,1.32916666666667,1.83125,2.33333333333333,1.58125,0.829166666666663,0.883333333333337,0.716666666666668
0.4824,0.8001,0.8518,0.9171,1.28405,1.651,1.15135,0.6517,0.5469,0.4383,1.2625,1.11666666666666,1.37083333333333,1.20624999999999,1.04166666666666,0.995833333333334,0.950000000000001,0.820833333333335,0.579166666666665
0.4944,0.8155,0.8692,0.9327,1.30435,1.676,1.16995,0.6639,0.5554,0.4442,1.08333333333333,1.39166666666667,1.22916666666667,1.94791666666667,2.66666666666667,1.84791666666667,1.02916666666667,0.800000000000001,0.591666666666667
0.5064,0.8261,0.8852,0.9466,1.3308,1.715,1.1957,0.6764,0.5661,0.4525,1.04583333333333,1.18750000000001,1.07916666666667,1.66458333333334,2.25000000000001,1.65416666666666,1.05833333333333,0.904166666666665,0.729166666666668
0.5184,0.8406,0.8977,0.9586,1.3443,1.73,1.20965,0.6893,0.5771,0.4617,1.30833333333334,1.32916666666667,1.11666666666667,1.80833333333334,2.49999999999999,1.76666666666666,1.03333333333333,0.883333333333332,0.641666666666665
0.5304,0.8575,0.9171,0.9734,1.3742,1.775,1.2381,0.7012,0.5873,0.4679,1.275,1.36666666666666,1.14583333333333,1.17708333333333,1.20833333333333,1.10833333333334,1.00833333333333,0.816666666666669,0.620833333333334
0.5424,0.8712,0.9305,0.9861,1.37255,1.759,1.23625,0.7135,0.5967,0.4766,1.15416666666666,1.13333333333333,1.07083333333333,1.57708333333333,2.08333333333333,1.5,0.916666666666662,0.8375,0.766666666666667
0.5544,0.8852,0.9443,0.9991,1.41205,1.825,1.2741,0.7232,0.6074,0.4863,1.01666666666666,1.475,1.12083333333333,1.93541666666667,2.75,1.78541666666666,0.82083333333333,0.899999999999997,0.645833333333331
0.5664,0.8956,0.9659,1.013,1.419,1.825,1.2791,0.7332,0.6183,0.4921,1.14583333333333,1.2125,1.1625,1.76874999999999,2.375,1.64166666666666,0.908333333333334,0.874999999999995,0.554166666666665
0.5784,0.9127,0.9734,1.027,1.4545,1.882,1.3135,0.745,0.6284,0.4996,1.35833333333334,0.945833333333335,1.04166666666667,1.29166666666666,1.54166666666667,1.36250000000001,1.18333333333334,0.900000000000002,0.741666666666668
0.5904,0.9282,0.9886,1.038,1.45,1.862,1.3118,0.7616,0.6399,0.5099,1.22083333333333,1.39999999999999,1.33333333333333,1.10416666666667,0.875000000000005,0.979166666666669,1.08333333333333,0.875,0.754166666666668
0.6024,0.942,1.007,1.059,1.481,1.903,1.337,0.771,0.6494,0.5177,1.16666666666667,1.225,1.50000000000001,2.06250000000001,2.625,1.775,0.925000000000004,0.795833333333337,0.545833333333335
0.6144,0.9562,1.018,1.074,1.4995,1.925,1.3544,0.7838,0.659,0.523,0.995833333333339,0.916666666666671,1.16666666666667,2.02083333333334,2.875,1.875,0.875000000000005,0.812500000000006,0.6
0.6264,0.9659,1.029,1.087,1.5295,1.972,1.382,0.792,0.6689,0.5321,1.02916666666666,1.33333333333333,1.08333333333333,1.02083333333333,0.958333333333329,0.893749999999998,0.829166666666663,0.829166666666663,0.720833333333332
0.6384,0.9809,1.05,1.1,1.524,1.948,1.37585,0.8037,0.6789,0.5403,1.16666666666667,1.25,1.29166666666667,1.1875,1.08333333333333,1.03750000000001,0.991666666666663,0.849999999999998,0.616666666666668
0.6504,0.9939,1.059,1.118,1.558,1.998,1.4069,0.8158,0.6893,0.5469,1.3375,1,0.874999999999995,0.937499999999998,1,0.972916666666665,0.945833333333335,0.650000000000002,0.591666666666666
0.6624,1.013,1.074,1.121,1.5465,1.972,1.3992,0.8264,0.6945,0.5545,1.37916666666666,1.45833333333334,0.708333333333329,0.354166666666664,0,0.524999999999997,1.05,0.720833333333332,0.716666666666666
0.6744,1.027,1.094,1.135,1.5665,1.998,1.4195,0.841,0.7066,0.5641,1.04166666666667,1.25,1.04166666666666,1.0625,1.08333333333333,1.07916666666667,1.075,0.904166666666663,0.770833333333331
0.6864,1.038,1.104,1.146,1.572,1.998,1.4251,0.8522,0.7162,0.573,0.833333333333333,0.833333333333333,1.41666666666667,0.708333333333329,0,0.435416666666669,0.870833333333334,0.75,0.541666666666662
0.6984,1.047,1.114,1.169,1.5835,1.998,1.42995,0.8619,0.7246,0.5771,0.874999999999995,1.29166666666666,1.45833333333334,0.72916666666666,0,0.447916666666668,0.895833333333336,0.770833333333336,0.550000000000004
0.7104,1.059,1.135,1.181,1.5895,1.998,1.43585,0.8737,0.7347,0.5862,1.29166666666667,1.20833333333333,1.04166666666666,0.52083333333334,0,0.370833333333329,0.741666666666668,0.787500000000001,0.770833333333336
0.7224,1.078,1.143,1.194,1.596,1.998,1.43885,0.8797,0.7435,0.5956,1.45833333333334,0.791666666666662,1.04166666666666,0.52083333333334,0,0.339583333333328,0.679166666666665,0.804166666666665,0.612499999999997
0.7344,1.094,1.154,1.206,1.602,1.998,1.444,0.89,0.754,0.6009,1.20833333333333,1.41666666666668,1.04166666666668,0.520833333333333,0,0.477083333333334,0.954166666666667,0.883333333333337,0.533333333333337
0.7464,1.107,1.177,1.219,1.6085,1.998,1.4503,0.9026,0.7647,0.6084,1.00000000000001,1.29166666666668,0.916666666666672,0.458333333333331,0,0.487500000000004,0.975000000000003,0.970833333333336,0.725000000000001
0.7584,1.118,1.185,1.228,1.613,1.998,1.4557,0.9134,0.7773,0.6183,0.75,1.20833333333333,0.583333333333333,0.291666666666662,0,0.550000000000004,1.1,0.862499999999997,0.691666666666664
0.7704,1.125,1.206,1.233,1.6155,1.998,1.4635,0.929,0.7854,0.625,0.870179063360877,1.41219008264463,0.952134986225891,0.47606749311295,0,0.562603305785122,1.12520661157025,0.67634297520661,0.560158402203859
0.7825,1.139,1.219,1.251,1.6245,1.998,1.46925,0.9405,0.7936,0.6318,1.03684573002754,0.745523415977962,1.16046831955922,0.580234159779615,0,0.43343663911846,0.866873278236911,0.830509641873278,0.66849173553719
0.7945,1.15,1.224,1.261,1.6295,1.998,1.47395,0.9499,0.8054,0.6411,1.25,1.16666666666667,1.25,0.624999999999995,0,0.447916666666668,0.895833333333331,0.849999999999998,0.733333333333331
0.8065,1.169,1.247,1.281,1.6395,1.998,1.48,0.962,0.814,0.6494,1.45833333333334,1.33333333333333,1.70833333333334,0.854166666666664,0,0.302083333333332,0.604166666666669,0.724999999999998,0.595833333333332
0.8185,1.185,1.256,1.302,1.65,1.998,1.4812,0.9644,0.8228,0.6554,1.04166666666666,0.583333333333324,1.08333333333333,0.541666666666671,0,0.310416666666665,0.620833333333334,0.741666666666668,0.554166666666665
0.8305,1.194,1.261,1.307,1.6525,1.998,1.48745,0.9769,0.8318,0.6627,0.541666666666662,1.04166666666666,0.666666666666667,0.333333333333333,0,0.529166666666663,1.05833333333333,0.679166666666665,0.716666666666666
0.8425,1.198,1.281,1.318,1.658,1.998,1.4939,0.9898,0.8391,0.6726,0.708333333333338,1.45833333333334,1.16666666666667,0.583333333333333,0,0.433333333333331,0.866666666666668,0.616666666666668,0.625
0.8545,1.211,1.296,1.335,1.6665,1.998,1.49785,0.9977,0.8466,0.6777,1.08333333333333,0.875000000000005,0.458333333333329,0.229166666666669,0,0.441666666666664,0.883333333333328,0.787500000000001,0.5875
0.8665,1.224,1.302,1.329,1.6635,1.998,1.5045,1.011,0.858,0.6867,1.29166666666667,1.16666666666668,0.250000000000005,0.124999999999998,0,0.506250000000006,1.0125,0.800000000000002,0.700000000000004
0.8785,1.242,1.324,1.341,1.6695,1.998,1.51,1.022,0.8658,0.6945,1.125,1.375,1,0.500000000000002,0,0.541666666666673,1.08333333333334,0.654166666666671,0.604166666666672
0.8905,1.251,1.335,1.353,1.6755,1.998,1.5175,1.037,0.8737,0.7012,1.20833333333333,0.208333333333329,1.25,0.625000000000005,0,0.416666666666667,0.833333333333333,0.833333333333333,0.504166666666666
0.9025,1.271,1.329,1.371,1.6845,1.998,1.52,1.042,0.8858,0.7066,0.833333333333333,0.75,1,0.5,0,0.22916666666666,0.458333333333338,0.849999999999998,0.683333333333331
0.9145,1.271,1.353,1.377,1.6875,1.998,1.523,1.048,0.8941,0.7176,0.416666666666667,1.25,1.375,0.687499999999998,0,0.374999999999995,0.75,0.612499999999997,0.75
0.9265,1.281,1.359,1.404,1.701,1.998,1.529,1.06,0.9005,0.7246,1.04166666666667,0.75,1.66666666666667,0.833333333333333,0,0.395833333333336,0.791666666666662,0.7125,0.533333333333334
0.9385,1.296,1.371,1.417,1.7075,1.998,1.5325,1.067,0.9112,0.7304,1.54166666666667,1.875,1.125,0.562499999999993,0,0.333333333333333,0.666666666666667,0.812500000000002,0.541666666666667
0.9505,1.318,1.404,1.431,1.7145,1.998,1.537,1.076,0.92,0.7376,1.83333333333333,2.74999999999999,1.16666666666667,0.583333333333324,0,0.374999999999995,0.750000000000009,0.733333333333335,0.599999999999998
